card_acc_no,card_no,cust_id,valid_thru,cvv,cred_limit,outstanding
175,345075060558539,1851,06/28,1319,44971.37,23125.1
176,060449327158,2491,07/30,689,47545.59,40286.2
177,4259144418633356,331,12/29,247,30224.39,3.71
178,30370122293534,2289,10/27,665,40640.62,35330.58
179,2706569243322721,2581,02/28,151,38897.35,28622.28
180,4397762769971290,1950,05/32,209,6322.83,6752.95
181,502075409040,809,11/34,983,40556.19,25505.36
182,30477818326625,1251,10/27,955,25197.85,26489.09
183,3584182164891230,2969,09/26,608,16979.45,45606.95
184,4282571276395422426,132,03/28,5673,25539.8,28479.97
185,342193238283980,1725,12/34,6002,36995.16,19898.7
186,639061562091,2006,08/26,1461,2969.56,20425.63
187,4513136294435197060,524,05/32,6579,43302.7,12632.16
188,6574305005200601,1558,05/26,795,7768.25,19925.02
189,38691443987443,2522,01/33,722,34718.2,709.63
190,4161576746192529210,749,04/29,614,14478.11,31592.1
191,4745130478066294965,2912,05/27,6323,22503.79,33976.72
192,6504771920534645,217,02/26,268,35921.71,31182.53
193,180084256158623,1217,03/27,014,12887.41,10409.8
194,372307662142073,2896,01/33,539,29136.07,18288.32
195,180082264616137,240,04/27,289,49513.62,31249.25
196,4477083858166186,1441,12/25,763,2746.44,24769.05
197,30129655300359,1524,11/30,065,45184.73,41487.19
198,30147759905667,1502,10/29,384,33965.46,48086.3
199,060460001161,1746,11/27,712,3926.78,22192.5
200,2621900427733320,2880,04/34,459,3001.12,17549.34
201,4377707401780,2383,06/27,808,8971.65,10710.99
202,376336563667173,1736,05/25,322,41248.08,34177.83
203,4076549370575232,1630,09/34,136,29128.25,17431.73
204,38350053159047,2856,11/27,377,49580.69,34634.97
205,4532808859715976,1702,11/25,128,10632.99,14685.49
206,3523165135603143,2148,01/32,104,24880.08,27439.89
207,6011806673799213,1634,05/34,765,38883.79,26646.63
208,4648134275595798,1417,04/25,526,8307.23,14266.68
209,4773237437676,376,06/27,745,38429.6,49773.49
210,370480152286031,2071,09/27,717,3281.83,16267.54
211,630437433562,1803,07/30,935,37926.87,19399.85
212,3526660347834509,1137,08/26,860,10412.03,6186.86
213,6011336429313655,309,10/30,171,9992.13,48827.52
214,4953708356692,2817,05/32,518,27769.43,18940.36
215,3593234077276212,739,09/31,525,20802.09,27074.66
216,213118585421517,1795,04/29,044,24705.53,43848.17
217,6584387409500727,1788,08/26,205,8396.22,39528.26
218,676135304696,314,10/34,652,29855.87,32061.09
219,213106209252533,715,11/29,390,6691.27,1349.76
220,4177125758121253889,2457,09/34,271,14365.45,45972.44
221,4076985125039955638,2355,05/33,177,42522.17,36857.1
222,180087601320285,2773,02/33,507,8347.29,37568.17
223,343846437670740,1169,12/30,459,44504.29,893.87
224,213175569300125,2689,10/26,522,30701.18,38153.09
225,375762003070622,366,05/34,395,42736.34,38825.78
226,503824483153,1128,08/30,760,32820.77,41259.48
227,213148649284841,1005,04/30,755,13894.73,18530.76
228,4246345317313984,452,01/30,374,13174.68,48052.46
229,3588609725722351,2049,07/34,025,40952.11,29604.04
230,4037392772917,2643,01/30,328,19225.82,48290.94
231,3590795274981559,1995,12/34,353,49141.54,42720.82
232,4241613069261452,979,06/28,515,4228.84,47782.68
233,3545749581677695,525,03/34,886,11424.71,38484.96
234,6011087310584033,1041,10/29,815,42766.51,25786.23
235,4470683850722,628,01/26,657,3633.38,1614.36
236,6011504349732144,1238,01/31,292,30943.58,39364.68
237,5215993048863993,314,03/27,133,3885.15,43383.25
238,676260793531,2582,02/31,904,22880.52,48006.25
239,348978133528313,2341,06/26,673,45258.64,2974.19
240,3510300019033886,2293,06/25,077,4718.0,30330.14
241,4477974950905,1076,06/33,342,33518.56,452.59
242,3566146792326069,2074,09/26,088,41936.39,32312.82
243,4992671442428,2516,07/28,747,16479.53,6516.44
244,3523112330671236,2800,03/30,929,35822.03,35700.54
245,4477113747983093,775,06/34,509,33474.21,30082.65
246,3511192141138991,82,11/33,508,41492.44,46623.05
247,4141194539597,2385,02/27,4908,26021.85,41178.63
248,4887078035442459870,1659,05/34,988,34970.35,35452.95
249,4170640760079599,2239,03/35,540,32726.82,13722.71
250,4421772386230335,1735,07/26,896,5188.26,43724.06
251,4054981559722937,1296,03/31,819,22869.04,16378.83
252,30117859598555,766,01/26,277,22809.17,31148.51
253,3524618955621123,50,07/25,568,22184.28,22625.35
254,3511313716493609,1505,08/33,767,42889.37,41764.61
255,4536875480571967,1556,08/31,0630,47077.22,49481.73
256,6011794114538962,1181,07/33,477,10733.32,17720.75
257,4752025442015,1374,07/25,914,24803.77,3005.31
258,2574315913305771,2912,03/26,984,49668.69,39867.79
259,343876349811587,1791,02/30,627,18119.18,40214.77
260,4670792832870409,1483,07/26,312,24338.04,39605.74
261,3517669340532110,1007,06/32,666,26734.43,16691.94
262,3533296725996742,531,09/28,253,23661.23,14237.69
263,3590987239874363,2032,08/29,900,17331.98,36313.68
264,4814408198976489674,2017,10/31,086,7337.16,19150.88
265,4045737573924,2923,04/26,146,4434.67,4481.47
266,2603211901974071,1123,02/27,5432,29573.6,32642.46
267,180048248132137,2474,01/35,695,18007.8,39480.35
268,4399168391238116,2307,05/34,8601,16188.53,46242.57
269,30418052453048,2,09/26,812,4110.1,46914.51
270,4427799075954683700,929,12/34,999,22084.45,26547.67
271,3514630792644848,2247,12/31,551,13142.61,20218.53
272,4083504054991517293,1051,02/26,970,34078.67,13481.29
273,3588730096773268,1183,06/27,684,24418.15,25415.0
274,6011191651154016,2917,07/29,886,28728.44,2256.8
275,3517704470569895,1824,10/29,886,11809.39,33761.26
276,502074765491,303,04/33,092,30199.66,30805.54
277,2223911410501832,1981,01/32,915,18692.02,17253.84
278,376280709635944,2382,08/26,050,39670.3,8128.23
279,3578411017579702,645,03/34,866,29465.94,8938.77
280,2229791489938071,1415,09/28,022,31592.43,17841.55
281,4629278779164313914,2799,10/33,157,14791.75,6675.59
282,3542582205092618,2319,10/25,193,29376.38,38625.19
283,3575349256650391,1955,12/25,7542,16135.43,31822.54
284,5321638675567133,2974,08/31,2596,1960.46,24750.93
285,3557089579792528,42,12/26,231,26092.88,17397.95
286,4840228249787337,1753,11/33,206,41789.43,49179.29
287,501896966295,801,09/25,575,20387.26,4848.85
288,6552512939312347,2332,11/27,204,35470.96,14656.26
289,4041380326564969,674,01/30,6242,17538.4,20244.74
290,2720761274940784,893,12/29,877,25578.71,47861.08
291,581268116778,2509,12/31,837,46841.57,19891.14
292,3508886457591017,1339,06/32,657,44242.63,15911.42
293,3596034545734868,1289,03/30,9789,10774.74,49273.09
294,4838470805093,1362,08/33,547,2772.45,7010.66
295,4498158235137,967,05/26,679,46015.89,37008.63
296,4843809816035788232,717,05/32,475,45563.54,35496.47
297,38371187836540,491,05/31,225,36556.16,20470.66
298,3536567830087438,397,08/25,523,35291.64,14828.73
299,4332153615516,1939,02/29,404,36571.44,29038.33
300,4950276638360,1105,06/29,564,7954.84,4721.56
301,4524199990255,1194,04/30,013,30993.95,39161.04
302,180076288967831,1434,09/30,9909,23245.09,41291.37
303,213184034874672,1199,04/33,956,20623.34,8247.24
304,5511456115771706,1840,10/28,637,27439.65,20355.5
305,4123197311505833467,2187,03/33,905,16330.6,12535.43
306,349001837214509,1301,10/29,686,45868.3,19730.79
307,3534809128105296,771,09/33,600,14932.34,38420.22
308,6523733655421650,1923,09/32,773,19393.6,25158.09
309,4183180240585787,1268,03/35,880,20568.12,1412.61
310,4873576754598907,2950,12/31,3013,17483.46,41497.58
311,2273077032118972,2272,03/25,7059,14797.55,23018.99
312,5589118447798511,1068,07/32,445,7551.84,41925.92
313,6011961674985897,1987,06/25,272,46903.6,10425.67
314,2662934997297176,1091,03/29,114,42595.14,24974.31
315,4834941962050,1439,01/33,219,40164.87,21184.34
316,4127442116171,2,11/34,339,30949.37,20605.75
317,4669606219874052,1737,11/33,546,29908.1,44201.92
318,6590179725408020,779,07/31,506,41274.11,9211.86
319,675961030318,1083,07/29,188,6916.82,49025.07
320,675907760986,1892,02/26,060,4529.02,41538.09
321,30379795621996,1241,09/30,673,12002.52,17339.34
322,30220760600062,1968,03/28,2813,23112.67,7133.44
323,4365132153464,1185,12/26,8061,5597.23,39194.36
324,501849827180,2193,06/27,071,36831.04,6823.71
325,3533181981468570,2180,09/28,358,3571.98,21354.43
326,4543358631518,2852,05/26,354,12803.97,49738.16
327,4734847849793905,502,04/33,404,26099.18,3445.57
328,3576083463582894,2687,05/30,034,42569.63,35851.79
329,213143341081132,1776,10/30,442,3193.24,3424.86
330,3506709309920519,2038,12/33,954,7945.6,35324.4
331,30547869850861,747,12/34,118,39990.11,7776.36
332,4456791763915,1888,10/27,094,49072.81,43180.09
333,30099038784712,146,10/29,688,26763.46,19664.08
334,4212817313866157,333,09/32,514,33382.04,48889.3
335,4235864658262066,2586,05/30,559,24410.6,18039.4
336,4895482070348,1776,10/30,165,43563.38,35836.4
337,349995010888700,962,06/34,936,8530.61,27772.85
338,2297148357449623,931,10/31,349,14248.51,15100.9
339,2270056467986379,2649,03/35,458,29716.41,46639.94
340,3521577465858703,2466,07/27,766,1621.88,10955.06
341,36573829293343,1194,10/30,229,27930.91,21586.73
342,4550429141837879,2297,03/27,651,42345.99,24532.16
343,630459003541,1303,12/34,543,48314.21,28665.36
344,5256909097113387,2488,09/34,848,48364.17,10548.01
345,4031465058193137,1750,12/31,518,8249.58,36776.93
346,30485404415827,830,06/28,072,37599.48,31253.47
347,4078203993910749665,1831,08/34,781,11376.28,37223.66
348,4293046212413066527,1091,04/30,845,4422.63,15935.02
349,4736223499866090442,1269,10/25,5499,42124.71,22296.77
350,3510534821372930,260,02/28,987,15919.65,10697.86
351,3523878993631549,2322,04/29,836,20682.87,18511.03
352,3591312114775362,1950,05/30,014,9982.26,13450.38
353,30368964046275,2815,07/32,599,25124.09,6517.61
354,6011958657988765,2407,03/26,227,31122.0,42341.46
355,373480723456797,1856,06/27,715,38936.66,30022.23
356,4639794371712973508,2753,09/25,653,14960.07,20746.31
357,501871011422,1230,12/32,783,17473.96,33068.2
358,377605102922169,656,11/29,980,17238.22,28226.04
359,3515159031689603,2645,08/26,859,10109.48,9673.31
360,30248032630104,2557,08/33,509,30174.85,22004.37
361,180009197059267,1023,06/26,846,46791.87,23615.13
362,30375109180265,2636,10/32,456,29629.34,11777.6
363,4539927307673208,1143,10/26,142,12355.29,5500.46
364,180023139527679,146,09/31,761,48465.14,25915.09
365,3595731610245875,28,10/32,2226,24407.15,4812.35
366,379705277094261,2995,09/25,9103,16804.76,43182.16
367,4260334031511,1868,01/28,695,38733.72,9140.79
368,4902889379948914848,1938,07/26,276,18093.42,11551.48
369,4623849621938687087,1334,05/28,231,37380.34,39694.38
370,4667907863771764,1042,06/31,790,15771.0,10024.87
371,4992454216502,637,10/29,418,5953.05,3085.35
372,3568147756124118,388,10/28,726,7353.9,33983.02
373,377188036364600,1214,12/30,6956,41020.59,46549.53
374,4830071057355470105,2323,02/28,191,36569.92,28321.28
375,4692391000129948,473,12/32,673,11568.77,21148.46
376,3503294691290683,1705,06/30,556,1795.99,32331.42
377,4928525553631851,1263,06/31,104,40435.13,11866.95
378,5357363137619623,1678,09/31,664,39824.52,19202.34
379,346854253319001,438,10/31,591,47412.52,465.67
380,4929476367576438,1036,07/27,670,33223.42,34654.42
381,6590744607223373,2756,11/31,998,23370.97,20932.11
382,3510368866147422,2907,01/30,466,36391.94,14293.16
383,6584938056728654,777,12/26,786,28749.94,27150.66
384,6510141413443609,1154,11/31,5099,46323.34,27882.46
385,342449481845200,2159,03/25,512,29291.9,9019.89
386,4185106178046140713,2659,11/32,736,1721.42,17793.65
387,4082266064520,2753,04/26,232,22812.33,25439.32
388,4728670834155011417,1589,03/30,511,15394.99,25426.96
389,6011466400131774,113,03/28,965,20593.82,23401.66
390,3580243429355165,2490,02/29,912,13473.42,19070.6
391,3536034669070548,2787,01/26,833,35436.61,4298.72
392,4969841697651,917,07/26,435,22788.12,544.28
393,4828603810165459,2828,07/29,993,25498.62,25998.13
394,371287565736901,1502,11/30,147,49765.29,48352.77
395,5331651510144321,868,01/26,105,33723.65,5868.89
396,4686008047064243434,2198,12/26,700,2713.19,32797.76
397,4473737028790,632,08/33,216,33011.36,34588.66
398,2684882637508276,339,03/34,054,37645.89,38895.61
399,3535944241692547,2901,10/29,413,42058.32,10417.14
400,3525117690763273,2401,11/28,568,26845.5,624.54
401,3502439846370549,424,12/28,284,17286.39,47971.76
402,4738110588416,653,08/28,762,11415.22,46333.93
403,6580557462521778,1746,12/34,132,45181.47,14865.19
404,4990663150934,1023,10/31,995,22785.33,3980.71
405,4017871521915410543,499,07/29,418,38392.48,48897.63
406,5164289625617402,2361,06/31,518,37019.1,35097.58
407,4521429632202449,2683,07/33,927,14481.5,2583.48
408,572906007784,2568,11/29,513,34534.8,40782.62
409,36901896212567,1828,08/27,050,32001.0,39424.19
410,3566484096604711,2754,12/29,635,8942.21,17633.96
411,4183261730145710,1000,12/31,662,13105.17,48171.73
412,5244299466766451,434,02/31,370,27563.57,47970.92
413,375902051146698,784,10/25,390,31835.2,28378.72
414,6598145629790005,2348,11/29,128,8103.71,49507.72
415,4750157935893034,2154,10/34,986,14740.67,22082.89
416,3543990666035209,2704,08/32,627,41754.67,6480.45
417,370907936079431,193,04/34,631,35353.07,48027.64
418,676171555599,1219,12/33,081,43456.79,4886.47
419,2282469220316667,1459,10/31,726,33713.66,35516.84
420,4596548771511,1524,10/32,824,29810.36,44219.61
421,4016978489179,14,12/26,728,33296.41,42241.54
422,3573149124819745,166,04/25,913,48008.35,47418.88
423,30078867167108,1396,11/31,032,39161.86,15818.98
424,3570700956038193,863,04/25,661,7404.28,49528.45
425,3585115266536567,2582,01/35,986,32222.34,218.84
426,6011875215998534,2984,12/33,530,22181.51,32255.31
427,6011537052312738,2470,04/25,696,25254.82,7772.34
428,3542029278549025,451,07/27,600,6247.74,44877.43
429,4748494455420855,2997,02/28,0284,18868.49,47645.53
430,378780019566216,607,04/30,0336,21572.19,31137.59
431,630450654458,1807,03/27,682,1237.24,21347.27
432,3583118407405504,62,01/31,1853,23682.28,35351.88
433,180085782209905,2687,08/32,060,41424.67,42935.11
434,3555417203778815,2602,08/25,008,45901.08,15795.49
435,4717925802406946,887,12/32,654,22872.89,26895.37
436,3550336044073365,366,02/34,238,43890.75,28425.7
437,4686682593510037501,1148,02/26,553,3242.05,18138.2
438,2598790098891161,1,04/28,651,20410.84,36229.69
439,5312369196363015,1466,03/34,466,1148.04,6237.46
440,180094087733072,2887,07/31,202,39955.56,5706.62
441,4938702652770256,1611,02/34,720,1476.97,15700.07
442,30383876923701,2275,12/29,061,2032.99,20624.55
443,6011768929443014,979,11/28,627,33343.21,24985.35
444,3574525255000917,1595,12/25,979,19183.85,10408.86
445,30443217858923,1038,04/26,2517,8675.35,46694.93
446,38051856649123,1356,10/27,587,5148.23,18034.11
447,060480570724,2742,09/26,967,28271.54,13313.49
448,3585557367938319,1011,06/26,718,18250.93,23791.14
449,6553960750335419,932,04/27,915,13544.84,2699.05
450,4872300880255394,1679,05/26,358,23364.08,38071.06
451,2556259678984069,1648,11/26,418,17401.2,28572.05
452,345983632215290,1927,08/34,971,14386.38,42901.65
453,4277177738382094060,900,01/33,269,26676.95,45375.56
454,5521357056570206,1225,03/28,106,14276.72,31546.24
455,4934076074594972,2636,09/29,888,25491.22,48808.64
456,180087091784917,1704,10/33,6521,45727.8,39338.25
457,4149827870184272,948,12/27,593,28549.86,43157.77
458,4649019639822702373,1226,07/27,148,37398.02,11966.97
459,4709703246290,2255,02/30,382,42554.2,45045.01
460,2321474130565554,406,01/28,8906,10573.85,20234.23
461,4381072564842,829,08/30,926,16311.96,12072.19
462,4075134523291663,898,04/31,929,39291.93,8268.62
463,4289906323796518,1556,06/28,623,29787.56,33721.04
464,6011346640780715,2477,07/31,355,11987.54,47277.7
465,2720749933397405,2828,10/34,708,3094.26,17094.68
466,4941685750630677,1491,12/28,244,4194.16,20499.34
467,4042337176006076848,1366,03/33,2973,35881.74,15168.36
468,4098710494922122,608,03/35,748,49222.02,32273.06
469,30185882814893,1309,04/33,754,39900.02,41333.5
470,060485397651,1631,11/34,327,41216.27,47048.94
471,6011572031240478,2412,11/30,492,8597.6,9723.86
472,36284368865620,462,01/32,245,41521.23,32062.55
473,564122118297,2052,05/28,441,9099.17,9958.05
474,5261082289833874,2820,09/34,619,14881.98,47728.85
475,6557404491965289,2704,02/30,3824,48797.6,44892.57
476,4140470089181356,2851,10/34,332,1840.63,45084.46
477,503882544771,1985,08/32,312,24671.57,35160.43
478,576898390074,1069,07/28,079,12741.19,11386.89
479,30470857523707,1815,11/28,917,33517.44,44054.84
480,5597265792461102,1802,04/25,891,8454.07,32359.55
481,3519724620012180,1498,01/32,681,29006.31,22708.62
482,30140245270473,309,08/30,861,9277.96,39598.61
483,3536834927538107,1621,06/32,844,43474.24,11898.96
484,4244269492927933,1566,09/26,076,29364.81,13107.3
485,2281586848029926,1097,01/30,780,8029.08,1784.13
486,3505123428473965,2603,08/28,708,8787.14,12801.71
487,4492294898643,1597,12/28,550,43567.0,22046.43
488,345757397429167,1995,09/32,615,40898.06,33676.82
489,6011185064999306,2307,12/30,987,24073.66,41850.89
490,346323500491906,1208,03/25,593,6490.5,11246.53
491,4050844751447,1864,06/29,163,38424.79,43892.57
492,375928829520781,1154,09/33,6402,40513.44,17543.9
493,36283311922330,654,08/33,603,25453.88,37978.0
494,4479015706148,44,04/28,489,14544.04,32170.8
495,6011102664933643,2657,12/32,990,25946.58,32340.92
496,348109775249758,526,02/30,816,10433.19,34389.45
497,6011482672841016,2144,09/26,150,5651.46,13888.4
498,4658802795950142,1296,08/28,336,42334.26,20989.74
499,30117059482170,1257,04/33,695,32070.82,3763.21
500,5530945066752191,2336,01/30,769,47963.95,913.76
501,6011774615756024,1962,08/32,699,36876.51,28512.89
502,4570622026860430,2365,12/31,9161,1872.16,4106.27
503,2243919175492747,2992,09/26,705,12294.8,11868.2
504,4844737124411207,2391,06/30,397,15769.13,27154.31
505,503877098023,2051,11/33,297,10384.0,10710.56
506,4206501350948809423,2893,06/26,7370,30914.12,48932.55
507,5350809143503844,755,09/32,285,18604.79,42751.96
