account_no,cust_id,balance,type,creation_date,status
1000075,38,872567.29,saving,2021-11-06,active
1000076,39,685913.96,saving,2023-07-20,active
1000077,39,552080.48,saving,2021-10-02,active
1000078,40,944655.1,saving,2006-07-03,active
1000079,41,355498.09,saving,2023-09-29,active
1000080,41,146895.31,current,2011-09-21,active
1000081,42,172504.43,saving,2024-10-29,active
1000082,43,185003.45,current,2000-08-18,active
1000083,43,846586.92,current,2021-11-22,active
1000084,44,924243.56,current,2017-10-31,active
1000085,44,933546.28,saving,2019-09-29,active
1000086,45,939424.29,current,2023-02-20,active
1000087,45,378859.12,current,2023-03-27,active
1000088,45,90202.16,current,2022-06-12,active
1000089,46,662487.53,saving,2024-11-27,active
1000090,47,796471.54,saving,2014-03-24,active
1000091,47,484663.36,current,2021-01-11,inactive
1000092,47,825185.89,current,2011-10-15,active
1000093,48,86687.67,current,1981-02-24,active
1000094,48,462565.85,saving,1991-10-08,active
1000095,48,596695.68,current,2016-12-22,active
1000096,49,512543.16,saving,2024-11-15,active
1000097,50,438797.23,saving,2017-11-01,active
1000098,50,914443.17,current,2020-09-29,active
1000099,51,347021.49,saving,2022-07-19,active
1000100,51,681781.46,current,2024-09-15,active
1000101,52,269364.82,current,2013-12-13,active
1000102,52,957231.29,current,2019-03-17,active
1000103,53,423768.12,saving,2024-07-20,active
1000104,53,83314.15,saving,2023-01-02,active
1000105,54,879390.27,saving,2022-07-19,active
1000106,54,193402.51,saving,2022-05-31,active
1000107,54,595736.74,saving,2021-08-31,active
1000108,55,775950.83,saving,2025-03-13,active
1000109,55,349419.46,saving,2020-11-18,active
1000110,56,569134.1,current,2022-09-23,active
1000111,56,75448.69,current,2024-06-11,active
1000112,56,866930.06,current,2024-11-04,active
1000113,57,623670.61,saving,2000-10-02,active
1000114,58,880423.8,current,1999-04-26,active
1000115,59,622139.44,saving,2024-09-07,active
1000116,59,195020.5,saving,2024-01-05,active
1000117,59,832889.39,saving,2024-05-08,active
1000118,60,160931.22,saving,2024-10-14,inactive
1000119,60,688351.66,saving,2024-08-21,active
1000120,61,585745.66,saving,2019-08-05,active
1000121,61,826214.79,current,2012-03-29,active
1000122,61,617183.31,current,2018-12-17,active
1000123,62,227978.39,current,2014-04-25,active
1000124,62,322882.43,current,2017-11-09,active
1000125,63,50588.79,current,2006-03-31,active
1000126,63,315799.02,current,2011-05-22,active
1000127,64,269024.98,saving,2025-03-09,active
1000128,65,502295.58,saving,2023-02-28,active
1000129,66,977103.59,current,2021-09-11,active
1000130,66,161415.44,current,2024-03-31,active
1000131,66,704384.04,saving,2006-03-11,active
1000132,67,81330.12,saving,2022-11-18,active
1000133,68,781134.44,saving,2025-01-11,active
1000134,68,781897.43,saving,2024-05-13,inactive
1000135,68,662060.18,current,2024-10-22,active
1000136,69,270883.81,current,2017-09-06,active
1000137,70,924934.13,current,1996-02-15,active
1000138,70,441027.81,current,1991-03-03,active
1000139,71,710768.71,current,2022-09-01,active
1000140,71,873201.48,saving,2022-08-07,active
1000141,71,502591.86,saving,2023-08-29,active
1000142,72,601035.94,saving,2003-06-21,active
1000143,72,494016.21,current,2007-03-10,inactive
1000144,73,8688.88,current,2023-05-07,active
1000145,73,189471.64,current,2024-10-05,active
1000146,73,44965.83,current,2024-01-03,active
1000147,74,463519.91,current,2016-03-03,active
1000148,74,837957.72,saving,2000-04-10,active
1000149,74,550357.21,saving,2004-01-20,active
1000150,75,137310.74,current,2016-08-24,active
1000151,75,164630.19,current,2020-02-20,active
1000152,75,582351.37,saving,1985-08-09,active
1000153,76,98543.35,current,2016-08-06,active
1000154,77,354511.77,current,2017-12-02,active
1000155,78,784410.79,saving,2024-07-16,active
1000156,78,686090.01,current,2024-08-30,active
1000157,79,903609.22,saving,2024-02-07,active
1000158,79,756785.54,current,2022-11-24,active
1000159,80,676028.82,current,2022-02-15,inactive
1000160,80,540822.26,saving,2002-07-06,active
1000161,81,395743.93,saving,2021-03-08,active
1000162,81,57964.36,saving,2021-03-02,active
1000163,82,492125.18,saving,2011-11-13,active
1000164,83,536572.45,current,2024-04-26,inactive
1000165,84,452006.77,saving,2022-01-05,active
1000166,85,217253.29,current,2000-09-22,active
1000167,85,154908.71,current,2025-01-31,inactive
1000168,86,338153.83,current,2021-09-28,active
1000169,86,544567.63,saving,2023-01-25,active
1000170,87,164933.98,current,2024-11-10,active
1000171,88,617.49,current,2016-03-18,active
1000172,88,872354.36,saving,2009-11-25,active
1000173,88,343355.34,current,2014-09-05,active
1000174,89,289505.71,current,2004-07-03,active
1000175,89,557765.51,current,2002-10-03,active
1000176,90,503710.35,saving,2022-12-21,active
1000177,90,807966.47,saving,2024-05-29,active
1000178,91,627275.81,current,2015-08-24,active
1000179,91,962473.89,current,2019-05-22,active
1000180,91,628000.3,current,2012-01-01,active
1000181,92,337073.35,saving,2024-12-03,active
1000182,93,69298.15,current,2025-01-15,active
1000183,93,733594.98,current,2024-10-20,active
1000184,94,742298.96,saving,2015-11-06,active
1000185,95,651474.29,saving,1984-09-27,active
1000186,95,612196.26,current,1994-05-23,active
1000187,96,492909.12,current,2014-10-31,active
1000188,96,701133.26,current,2016-10-25,active
1000189,97,858563.87,saving,2022-07-26,active
1000190,98,990058.01,saving,2025-01-29,active
1000191,98,909733.57,current,2025-02-02,inactive
1000192,99,587954.92,saving,2020-09-06,inactive
1000193,100,59997.38,current,2018-02-25,active
1000194,101,127282.1,current,2012-07-06,active
1000195,101,3470.49,saving,2018-11-25,active
1000196,101,239843.73,current,2008-11-21,active
1000197,102,392917.17,saving,2022-10-26,active
1000198,102,646049.62,current,2018-05-19,active
1000199,102,301695.81,current,2022-09-24,active
1000200,103,195377.74,saving,2023-04-05,active
1000201,104,791084.73,saving,2001-08-02,active
1000202,105,798705.44,current,2023-07-17,active
1000203,105,93135.01,current,2020-07-17,active
1000204,106,949124.78,current,2024-06-27,inactive
1000205,107,724724.92,current,2014-05-16,active
1000206,107,988603.81,saving,2013-10-03,active
1000207,108,303594.48,current,2016-03-12,active
1000208,108,291970.37,current,2023-04-29,active
1000209,108,926463.09,saving,2018-11-02,active
1000210,109,788127.78,current,1994-04-02,active
1000211,109,497030.99,current,2011-10-26,inactive
1000212,110,200243.27,saving,2021-04-15,active
1000213,111,143033.48,current,2021-07-04,active
1000214,112,71811.57,saving,2006-09-04,active
1000215,113,277737.24,current,2023-05-04,active
1000216,114,248668.93,current,2022-09-23,active
1000217,114,735208.98,saving,2023-11-17,inactive
1000218,115,634530.52,current,2020-07-07,active
1000219,115,205014.5,saving,2013-08-04,active
1000220,116,233097.8,current,1992-01-11,active
1000221,117,503016.34,current,2020-06-13,active
1000222,118,921228.45,saving,2011-09-10,active
1000223,119,839563.49,saving,2022-09-16,active
1000224,119,644211.67,saving,2022-10-21,active
1000225,120,262716.46,saving,2017-04-03,active
1000226,120,84711.05,saving,2007-11-07,active
1000227,121,741228.66,current,2009-11-28,active
1000228,121,441329.72,saving,2018-02-23,active
1000229,121,890069.13,current,2006-11-02,active
1000230,122,148421.81,current,2023-09-07,active
1000231,122,586711.54,current,2021-07-01,active
1000232,122,112498.69,saving,2022-02-15,active
1000233,123,697058.68,current,2025-01-25,active
1000234,123,646605.75,saving,2024-10-20,active
1000235,124,557803.73,saving,2024-12-28,active
1000236,124,466203.07,saving,2024-06-01,active
1000237,125,265820.33,current,2015-09-06,active
1000238,125,866916.33,current,2018-09-22,active
1000239,125,865594.24,saving,2006-06-09,active
1000240,126,84650.26,current,2024-11-21,active
1000241,126,459211.09,saving,2024-11-28,active
1000242,127,6606.66,current,2007-12-31,active
1000243,128,850371.17,current,2024-12-28,inactive
1000244,128,670721.58,saving,2025-01-27,active
1000245,129,558076.32,current,2013-01-01,active
1000246,130,276715.03,current,2009-02-13,inactive
1000247,130,668559.49,current,2017-01-18,inactive
1000248,131,951041.14,saving,2005-05-23,active
1000249,132,105980.69,current,2016-01-11,active
1000250,133,443421.94,current,2024-05-12,active
1000251,133,284600.61,current,2014-12-04,active
1000252,134,77135.75,saving,2016-01-30,active
1000253,134,688972.36,current,2013-02-20,active
1000254,135,643970.79,saving,2015-01-08,active
1000255,135,407818.95,saving,2015-06-02,active
1000256,135,370713.26,saving,2009-05-19,active
1000257,136,455600.93,current,2018-10-09,active
1000258,137,587916.43,saving,2020-12-16,active
1000259,137,400241.11,saving,2023-07-30,active
1000260,137,680197.66,current,2018-04-18,active
1000261,138,566738.08,saving,2023-01-08,active
1000262,138,603947.06,current,2024-03-25,active
1000263,139,694755.32,saving,2000-08-20,active
1000264,139,474752.92,current,2014-12-26,active
1000265,140,839237.09,saving,2009-07-12,active
1000266,140,609724.34,saving,2003-06-08,active
1000267,141,391405.57,current,2019-12-07,active
1000268,141,849994.96,saving,2018-03-17,active
1000269,141,758648.23,saving,2019-01-19,active
1000270,142,854860.03,saving,2019-12-24,active
1000271,142,521672.57,current,2004-07-11,active
1000272,143,857521.03,saving,2005-04-12,active
1000273,144,515843.94,saving,2016-06-13,active
1000274,144,393193.97,current,2021-08-12,active
1000275,145,143886.52,saving,2025-01-18,active
1000276,145,28806.11,current,2016-08-29,active
1000277,146,877525.17,current,1984-12-23,active
1000278,147,477084.62,saving,2006-09-08,active
1000279,147,423082.17,saving,2017-08-10,active
1000280,147,410099.3,current,2020-01-28,active
1000281,148,46989.07,saving,2024-03-19,active
1000282,148,53375.1,current,2023-04-15,active
1000283,148,987227.99,current,2023-11-09,active
1000284,149,625199.71,current,2024-10-24,active
1000285,149,13658.21,saving,2024-11-22,active
1000286,149,293741.44,current,2024-01-24,active
1000287,150,559583.18,current,2019-10-02,active
1000288,150,932066.14,current,2021-07-21,active
1000289,150,164636.62,current,2013-10-12,active
1000290,151,526629.3,saving,1995-07-09,active
1000291,151,667706.23,saving,2014-08-27,active
1000292,152,465352.41,current,2023-11-16,active
1000293,153,234073.3,current,2022-09-25,active
1000294,153,15729.57,current,2022-02-04,active
1000295,153,503881.8,current,2024-07-31,active
1000296,154,968656.95,saving,2015-10-01,active
1000297,155,960767.45,current,1999-09-10,active
1000298,155,608867.92,current,2010-07-07,active
1000299,156,898786.06,current,2021-10-08,active
1000300,156,395288.52,saving,2022-09-23,active
1000301,156,947907.0,current,2022-09-30,active
1000302,157,293073.34,saving,2011-01-20,active
1000303,158,688342.51,current,2023-12-13,active
1000304,159,54511.03,saving,2024-06-09,active
1000305,159,540811.93,saving,2024-11-30,active
1000306,160,189684.71,saving,2025-02-24,active
1000307,161,950284.11,saving,2020-01-26,active
1000308,161,138941.79,saving,2013-05-07,active
1000309,161,121521.86,current,2009-02-19,active
1000310,162,507603.06,saving,2015-05-09,active
1000311,163,356857.28,current,2023-07-05,active
1000312,163,768131.11,saving,2020-12-26,active
1000313,164,448669.42,current,2025-02-25,active
1000314,164,30848.29,current,2025-01-29,active
1000315,165,449906.6,current,2021-05-17,active
1000316,165,126248.18,saving,2023-05-04,active
1000317,166,237414.98,saving,2016-07-18,active
1000318,167,620070.95,current,2006-07-27,active
1000319,168,500613.73,saving,2024-06-04,active
1000320,168,321891.94,saving,2024-08-22,active
1000321,168,427388.67,current,2022-09-03,active
1000322,169,177492.98,current,2021-09-17,active
1000323,169,684757.96,saving,2017-08-03,active
1000324,169,250353.37,current,2019-03-23,active
1000325,170,249413.88,saving,2010-04-16,active
1000326,171,712302.68,saving,2021-12-30,active
1000327,172,132325.36,current,2025-01-12,active
1000328,172,985147.74,saving,2024-10-24,active
1000329,172,206348.36,saving,2024-10-05,active
1000330,173,610850.19,saving,1989-03-26,active
1000331,173,292469.88,saving,1988-01-11,inactive
1000332,174,586672.18,saving,2024-05-18,active
1000333,175,917368.34,saving,2018-11-16,inactive
1000334,176,710309.16,current,2017-06-29,active
1000335,176,58236.6,saving,2020-04-22,inactive
1000336,177,435420.79,saving,2023-10-31,active
1000337,177,979182.86,saving,2023-04-25,active
1000338,177,469644.4,current,2022-12-11,active
1000339,178,722646.23,current,2025-01-10,active
1000340,178,139529.05,current,2024-10-27,active
1000341,178,652796.33,saving,2024-11-04,active
1000342,179,112711.59,current,2019-09-14,active
1000343,179,758918.39,saving,2019-11-07,active
1000344,179,451580.52,current,2018-08-09,inactive
1000345,180,280081.39,current,2024-09-10,active
1000346,180,977002.48,current,2024-05-12,active
1000347,180,947299.31,current,2021-05-31,active
1000348,181,504203.36,current,2024-09-22,active
1000349,181,371141.71,saving,2020-09-17,active
1000350,182,442419.88,current,2023-12-13,active
1000351,182,577021.77,current,2019-01-14,active
1000352,183,555004.24,current,2024-11-12,active
1000353,183,433738.49,current,2023-04-04,active
1000354,183,151010.52,saving,2022-12-29,inactive
1000355,184,320341.64,current,2018-07-22,active
1000356,185,527213.26,current,2019-02-08,active
1000357,186,82982.79,saving,2025-03-04,inactive
1000358,186,658015.3,current,2020-02-14,active
1000359,187,262580.12,saving,2021-03-04,active
1000360,188,613923.58,current,2004-12-14,active
1000361,188,641325.15,saving,2021-11-21,active
1000362,189,79243.64,saving,2011-11-07,active
1000363,189,426337.08,saving,2014-09-17,active
1000364,190,667524.9,current,2017-10-04,active
1000365,190,989133.48,saving,2008-08-30,active
1000366,191,15839.61,saving,2015-02-10,active
1000367,191,990365.6,current,2021-07-06,active
1000368,191,78088.06,current,2018-07-09,active
1000369,192,399606.34,saving,2014-04-02,active
1000370,193,678901.92,saving,2012-01-26,active
1000371,194,792930.76,saving,2008-06-26,active
1000372,194,888558.84,current,2009-02-12,active
1000373,194,949294.79,saving,2011-08-23,active
1000374,195,377810.04,saving,2025-02-13,active
1000375,195,768056.98,current,2024-08-15,active
1000376,196,689397.13,saving,2006-10-03,active
1000377,196,189752.32,current,2015-11-17,active
1000378,196,160332.5,current,2021-08-27,active
1000379,197,143449.99,current,2020-07-06,active
1000380,197,786978.42,current,2021-08-31,active
1000381,198,18763.53,saving,2013-09-02,active
1000382,199,212239.86,current,1986-05-30,active
1000383,199,246693.77,current,2014-04-13,active
1000384,199,39003.28,current,2011-03-18,active
1000385,200,839126.95,current,2023-10-10,active
1000386,201,117140.4,saving,2016-12-11,active
1000387,202,802408.29,saving,2018-01-13,active
1000388,202,73584.39,current,2024-04-10,active
1000389,202,517683.85,saving,2022-08-16,inactive
1000390,203,706317.32,current,2023-11-11,active
1000391,203,206108.1,current,2024-10-02,active
1000392,203,833323.1,saving,2025-02-23,active
1000393,204,58220.93,saving,2015-08-03,inactive
1000394,204,684049.88,saving,2023-04-22,active
1000395,204,645770.91,current,2016-08-16,active
1000396,205,73821.93,current,2015-03-09,active
1000397,205,90428.16,current,2011-11-30,active
1000398,205,361341.98,current,2012-04-03,active
1000399,206,494561.08,current,2025-02-14,active
1000400,207,799635.74,current,2024-06-08,active
1000401,207,195698.78,saving,2024-05-05,active
1000402,207,654392.02,saving,2024-09-25,active
1000403,208,505600.18,saving,2014-07-24,active
1000404,208,334401.45,current,2024-01-01,active
1000405,209,681088.9,current,2019-08-16,active
1000406,209,843415.24,current,2023-04-02,active
1000407,209,579773.88,saving,2017-12-26,active
1000408,210,544142.68,saving,2025-02-13,active
1000409,211,339384.77,current,2016-10-12,inactive
1000410,211,203942.4,saving,2023-08-24,active
1000411,212,426472.78,saving,2007-10-20,inactive
1000412,213,750877.66,current,2020-01-27,active
1000413,213,188919.89,saving,2021-02-16,active
1000414,214,369916.57,saving,2013-09-16,active
1000415,215,889552.72,current,2019-02-19,active
1000416,216,814040.55,saving,2019-10-20,active
1000417,216,108391.38,saving,2001-01-09,active
1000418,217,601283.48,current,2024-11-24,active
1000419,218,504855.6,current,2024-12-24,active
1000420,218,189678.34,saving,2025-01-14,inactive
1000421,218,509806.71,saving,2025-03-01,active
1000422,219,644136.82,current,1978-12-14,active
1000423,219,268852.06,current,2004-09-26,active
1000424,220,998707.32,saving,2025-03-04,inactive
1000425,220,502796.24,current,2025-01-03,active
1000426,220,950940.33,current,2024-09-13,active
1000427,221,331713.43,saving,2004-03-21,active
1000428,222,893110.24,saving,2018-10-02,inactive
1000429,222,193914.85,saving,2020-01-18,active
1000430,223,953865.79,saving,2020-12-18,active
1000431,223,335649.3,saving,2016-09-16,active
1000432,223,68235.08,saving,2017-04-20,active
1000433,224,449129.8,current,2023-10-22,active
1000434,225,216733.45,saving,2007-04-27,active
1000435,225,532730.96,current,2019-07-15,active
1000436,226,178531.87,current,2024-11-15,active
1000437,226,517829.79,saving,2024-04-14,active
1000438,226,195911.44,saving,2023-12-31,active
1000439,227,49380.33,current,2024-05-09,active
1000440,228,739884.54,current,2024-12-03,active
1000441,228,979659.69,current,2024-11-20,active
1000442,229,460228.4,saving,2022-01-07,active
1000443,229,662910.87,saving,2023-10-28,active
1000444,229,467389.72,saving,2021-04-16,inactive
1000445,230,301593.4,current,1999-07-27,active
1000446,231,871519.8,saving,2022-09-27,active
1000447,232,872574.92,saving,2020-08-24,active
1000448,232,215260.37,current,2024-11-14,active
1000449,232,558223.1,saving,2021-09-23,active
1000450,233,721421.65,current,2006-04-14,active
1000451,233,333561.22,saving,2019-05-25,active
1000452,233,659432.7,saving,2019-02-23,inactive
1000453,234,209256.78,current,2025-03-13,active
1000454,234,96795.35,saving,2025-03-13,active
1000455,235,865756.98,current,2024-07-27,active
1000456,235,558308.87,current,2023-10-01,active
1000457,236,368589.23,saving,2023-09-18,active
1000458,236,168344.96,current,2021-12-01,active
1000459,236,837836.46,current,2024-02-03,active
1000460,237,134814.69,saving,2023-02-13,active
1000461,238,236715.7,saving,2024-10-02,active
1000462,238,935269.67,saving,2023-07-19,active
1000463,238,448322.93,current,2022-05-12,active
1000464,239,521101.43,saving,2021-12-29,active
1000465,239,517717.94,saving,2021-12-17,active
1000466,239,176179.61,saving,2023-08-22,active
1000467,240,767444.89,current,2011-05-31,active
1000468,240,800737.84,saving,2012-10-31,active
1000469,240,329584.26,saving,2019-01-09,active
1000470,241,894978.97,saving,2021-07-31,inactive
1000471,242,131230.47,saving,2008-02-18,active
1000472,242,267418.9,current,2015-04-11,active
1000473,243,945942.55,current,2021-01-26,active
1000474,244,747348.37,current,2023-06-16,active
1000475,244,777231.49,saving,2023-02-16,active
1000476,244,173196.24,saving,2023-03-21,active
1000477,245,782279.99,saving,2022-07-25,active
1000478,246,457275.83,saving,2016-06-25,inactive
1000479,246,345866.42,saving,2015-09-27,inactive
1000480,247,12507.8,current,1989-08-13,active
1000481,248,785585.47,saving,2018-09-03,active
1000482,249,486227.11,saving,2018-05-24,active
1000483,249,504567.2,saving,2012-07-26,active
1000484,249,339370.33,saving,2023-08-08,inactive
1000485,250,73169.03,saving,2023-08-02,active
1000486,250,6403.26,current,2024-11-22,active
1000487,251,837614.56,current,2013-08-13,active
1000488,251,509150.75,current,2015-03-27,active
1000489,252,494078.77,saving,2014-11-20,active
1000490,252,227429.93,saving,1993-11-10,active
1000491,253,326362.55,current,2009-12-17,active
1000492,254,660172.44,current,2021-01-29,active
1000493,255,881517.9,saving,2010-05-17,active
1000494,255,632855.98,current,2009-04-06,active
1000495,256,743480.2,saving,2021-08-04,active
1000496,256,225063.23,current,2006-01-08,active
1000497,256,846996.1,current,2025-01-23,active
1000498,257,980628.89,saving,2023-12-22,active
1000499,257,146245.14,current,2020-05-01,active
1000500,257,111817.64,saving,2022-08-01,active
1000501,258,466135.3,saving,2020-10-30,active
1000502,258,122223.03,saving,2011-10-22,active
1000503,259,288927.75,current,2008-06-05,inactive
1000504,259,544415.81,current,2008-11-07,active
1000505,259,743101.76,current,2014-11-29,inactive
1000506,260,212790.41,saving,2006-09-11,active
1000507,260,208347.9,saving,2023-04-27,active
1000508,261,708983.44,saving,2019-04-09,active
1000509,261,79101.0,current,2021-12-13,active
1000510,262,547206.98,saving,2019-09-03,active
1000511,263,259002.33,current,2022-11-22,inactive
1000512,263,403987.41,saving,2020-11-09,active
1000513,264,494245.0,current,2013-11-14,active
1000514,264,528725.0,saving,2019-05-09,active
1000515,264,270683.42,saving,2022-09-24,active
1000516,265,191762.03,current,2012-02-20,inactive
1000517,265,742401.58,current,2010-08-09,active
1000518,266,933584.36,saving,2022-06-18,active
1000519,266,609091.5,current,2022-03-04,active
1000520,266,736779.38,current,2016-05-02,active
1000521,267,876768.02,current,2015-08-04,active
1000522,268,729952.93,saving,1967-01-10,active
1000523,268,186939.37,saving,1992-01-01,active
1000524,268,734893.0,saving,1980-02-02,active
1000525,269,477658.14,current,2022-01-18,inactive
1000526,269,455011.83,saving,2019-10-26,active
1000527,269,897486.41,saving,2009-09-08,active
1000528,270,907626.23,saving,2020-05-14,active
1000529,270,695763.92,current,2024-06-02,active
1000530,271,330483.3,current,2025-01-07,active
1000531,271,296749.57,current,2019-12-02,active
1000532,271,999368.13,saving,2020-12-27,active
1000533,272,733360.53,current,2020-02-09,active
1000534,272,795634.68,current,2016-10-02,active
1000535,272,76061.34,current,2024-05-17,active
1000536,273,27806.17,current,2025-01-09,inactive
1000537,273,347519.81,current,2024-04-21,active
1000538,274,229861.81,current,2018-05-05,active
1000539,275,744599.2,saving,2022-08-05,active
1000540,275,535565.14,current,2022-07-09,active
1000541,276,496167.99,current,1995-03-23,active
1000542,276,288017.08,saving,2024-03-29,active
1000543,277,776168.53,saving,2015-02-24,active
1000544,277,101145.63,saving,2017-09-09,active
1000545,277,360353.35,saving,2023-04-28,active
1000546,278,640590.0,current,1996-12-04,active
1000547,278,603865.58,saving,2021-03-06,active
1000548,278,258705.47,saving,2009-07-14,active
1000549,279,189919.63,current,2011-01-10,inactive
1000550,279,245600.99,saving,2013-12-16,active
1000551,280,524094.86,saving,2023-12-01,active
1000552,281,29303.99,saving,2014-09-17,active
1000553,281,280066.68,current,2006-05-07,active
1000554,281,886159.9,saving,2016-09-25,active
1000555,282,762097.15,current,2022-11-28,active
1000556,282,948003.53,saving,2019-10-25,active
1000557,282,505567.5,saving,2023-04-24,active
1000558,283,811465.43,current,2018-01-25,active
1000559,284,313125.87,current,2023-10-25,active
1000560,284,830775.74,saving,2023-10-17,active
1000561,284,67770.13,current,2022-05-22,inactive
1000562,285,980542.13,saving,2023-03-16,active
1000563,285,858578.96,saving,2023-01-31,active
1000564,286,599523.84,current,2022-11-22,active
1000565,286,204082.8,saving,2022-10-23,active
1000566,287,687906.51,saving,2017-12-14,active
1000567,287,830791.83,saving,2013-11-10,active
1000568,288,555159.45,saving,2013-08-30,active
1000569,289,396103.18,current,2024-12-23,active
1000570,289,642689.49,current,2025-02-02,active
1000571,289,318680.65,saving,2024-10-21,active
1000572,290,123771.16,current,2017-04-03,active
1000573,291,189655.13,saving,2022-07-28,active
1000574,291,770066.89,saving,2024-07-12,active
1000575,291,280212.05,current,2022-11-16,active
1000576,292,338967.18,current,2021-02-07,active
1000577,292,327754.53,current,2023-11-24,active
1000578,293,865581.84,saving,2024-11-01,active
1000579,294,213221.06,saving,2005-01-06,active
1000580,295,61159.01,saving,1998-02-04,active
1000581,296,330343.77,saving,2025-02-14,active
1000582,296,60312.81,saving,2025-03-14,active
1000583,296,375306.37,current,2025-03-02,inactive
1000584,297,711343.06,current,2025-01-16,inactive
1000585,297,895998.06,current,2024-01-03,inactive
1000586,298,119921.72,saving,2023-11-26,active
1000587,299,921079.77,current,2010-06-23,active
1000588,299,453988.59,saving,2022-08-19,active
1000589,300,477676.9,current,2023-11-26,active
1000590,301,526765.83,current,1989-08-28,active
1000591,301,785195.26,current,1990-04-13,active
1000592,302,299131.88,current,2013-07-16,inactive
1000593,302,456194.67,current,2007-07-13,active
1000594,303,818803.44,current,2016-04-22,active
1000595,303,867114.3,saving,2019-09-15,active
1000596,303,919354.17,saving,2015-05-11,active
1000597,304,988766.69,current,2024-12-02,active
1000598,304,745698.13,current,2024-11-09,active
1000599,305,477917.68,saving,2025-02-04,active
1000600,306,525369.8,saving,2008-03-03,inactive
1000601,306,90218.09,current,2011-11-03,active
1000602,307,804986.36,saving,2023-07-12,inactive
1000603,307,419398.03,saving,2005-07-31,active
1000604,307,346293.91,saving,1977-01-11,active
1000605,308,978452.51,saving,2023-08-18,active
1000606,308,46020.19,saving,2021-11-08,inactive
1000607,309,658457.45,current,2016-09-10,active
1000608,309,744995.25,saving,2019-09-30,active
1000609,309,542284.4,current,2015-06-06,active
1000610,310,415585.65,current,2008-08-26,active
1000611,310,610370.95,saving,2007-12-15,active
1000612,311,690435.69,saving,2023-12-13,active
1000613,312,850904.07,saving,2025-02-08,active
1000614,312,775287.19,saving,2023-03-22,active
